Mesocosm.No,Pred.Treatment,Heat.Treatment,Treatment,Rep,Initial.Big,Final.Big,Change.Big,Initial.Small,Final.Small,Change.small,micro.degred.factor,Corrected.shred
1,Absent,Future,2,1,3.7,2.89,0.81,0.64,0.51,0.13,0.203125,0.0584375
2,Absent,Future,2,2,3.49,2.96,0.53,0.73,0.63,0.1,0.136986301,0.051917808
3,Present,Future,1,1,3.67,2.94,0.73,0.54,0.48,0.06,0.111111111,0.322222222
4,Present,Future,1,2,3.49,2.9,0.59,0.49,0.39,0.1,0.204081633,-0.122244898
5,Absent,Future,2,3,3.68,2.91,0.77,0.51,0.42,0.09,0.176470588,0.120588235
6,Absent,Future,2,4,3.45,2.85,0.6,0.58,0.48,0.1,0.172413793,0.005172414
7,Present,Future,1,3,3.46,2.91,0.55,0.52,0.43,0.09,0.173076923,-0.048846154
8,Present,Future,1,4,3.55,3.12,0.43,0.53,0.44,0.09,0.169811321,-0.172830189
9,Absent,Future,2,5,3.43,2.81,0.62,0.53,0.46,0.07,0.132075472,0.166981132
10,Absent,Future,2,6,3.63,2.87,0.76,0.49,0.42,0.07,0.142857143,0.241428571
11,Present,Future,1,5,3.58,3,0.58,0.62,0.5,0.12,0.193548387,-0.112903226
12,Present,Future,1,6,3.56,3.01,0.55,0.51,0.43,0.08,0.156862745,-0.008431373
13,Absent,Future,2,7,3.38,2.73,0.65,0.51,0.44,0.07,0.137254902,0.186078431
14,Absent,Future,2,8,3.31,2.65,0.66,0.45,0.36,0.09,0.2,-0.002
15,Present,Future,1,7,3.35,2.85,0.5,0.5,0.42,0.08,0.16,-0.036
16,Present,Future,1,8,3.41,2.88,0.53,0.46,0.37,0.09,0.195652174,-0.137173913
17,Absent,Current,4,1,3.47,2.71,0.76,0.51,0.43,0.08,0.156862745,0.215686275
18,Absent,Current,4,2,3.34,2.6,0.74,0.54,0.48,0.06,0.111111111,0.368888889
19,Present,Current,3,1,3.32,2.81,0.51,0.47,0.4,0.07,0.14893617,0.015531915
20,Present,Current,3,2,3.36,2.75,0.61,0.49,0.42,0.07,0.142857143,0.13
21,Absent,Current,4,3,3.38,2.64,0.74,0.53,0.42,0.11,0.20754717,0.038490566
22,Absent,Current,4,4,3.47,2.78,0.69,0.4,0.33,0.07,0.175,0.08275
23,Present,Current,3,3,3.4,2.86,0.54,0.46,0.39,0.07,0.152173913,0.022608696
24,Present,Current,3,4,3.35,2.82,0.53,0.5,0.4,0.1,0.2,-0.14
25,Absent,Current,4,5,3.43,2.8,0.63,0.45,0.37,0.08,0.177777778,0.020222222
26,Absent,Current,4,6,3.36,2.8,0.56,0.41,0.31,0.1,0.243902439,-0.259512195
27,Present,Current,3,5,3.45,2.88,0.57,0.46,0.38,0.08,0.173913043,-0.03
28,Present,Current,3,6,3.41,2.87,0.54,0.48,0.39,0.09,0.1875,-0.099375
29,Absent,Current,4,7,3.34,2.64,0.7,0.44,0.38,0.06,0.136363636,0.244545455
30,Absent,Current,4,8,3.47,2.62,0.85,0.49,0.39,0.1,0.204081633,0.141836735
31,Present,Current,3,7,3.38,2.85,0.53,0.45,0.38,0.07,0.155555556,0.004222222
32,Present,Current,3,8,3.43,2.91,0.52,0.48,0.39,0.09,0.1875,-0.123125
33,Absent,Ambient,6,1,3.36,2.71,0.65,0.44,0.38,0.06,0.136363636,0.191818182
34,Absent,Ambient,6,2,3.5,2.9,0.6,0.47,0.4,0.07,0.14893617,0.078723404
35,Present,Ambient,5,1,3.43,2.91,0.52,0.45,0.37,0.08,0.177777778,-0.089777778
36,Present,Ambient,5,2,3.46,2.92,0.54,0.45,0.38,0.07,0.155555556,0.001777778
37,Absent,Ambient,6,3,3.41,2.84,0.57,0.48,0.4,0.08,0.166666667,0.001666667
38,Absent,Ambient,6,4,3.38,2.61,0.77,0.46,0.37,0.09,0.195652174,0.108695652
39,Present,Ambient,5,3,3.48,2.82,0.66,0.51,0.44,0.07,0.137254902,0.182352941
40,Present,Ambient,5,4,3.44,2.92,0.52,0.52,0.41,0.11,0.211538462,-0.207692308
41,Absent,Ambient,6,5,3.41,2.93,0.48,0.46,0.38,0.08,0.173913043,-0.113043478
42,Absent,Ambient,6,6,3.46,2.8,0.66,0.49,0.42,0.07,0.142857143,0.165714286
43,Present,Ambient,5,5,3.46,3.01,0.45,0.52,0.43,0.09,0.173076923,-0.148846154
44,Present,Ambient,5,6,3.43,2.96,0.47,0.49,0.42,0.07,0.142857143,-0.02
45,Absent,Ambient,6,7,3.5,2.74,0.76,0.52,0.42,0.1,0.192307692,0.086923077
46,Absent,Ambient,6,8,3.57,2.8,0.77,0.48,0.4,0.08,0.166666667,0.175
47,Present,Ambient,5,7,3.52,2.92,0.6,0.64,0.54,0.1,0.15625,0.05
48,Present,Ambient,5,8,3.59,3.04,0.55,0.55,0.43,0.12,0.218181818,-0.233272727
