Mesocosm.No,Pred.Treatment,Heat.Treatment,Treatment,Rep,Sternomoera yezoensis,Cochliopidae spp.,Optioservus kubotai,Orthocladiinae spp.,Orthocladiinae spp. pupae,Chironomidae spp. A,Chironomidae spp. B,Tipula coquilletti,Baetis thermicus,Ephemera strigata,Biwadrilidae spp.,Hirudinea spp.,Nematoda spp.,Davidius nanus,Perlodidae spp.,Brachycentrus americanus,Psychomyia spp.,Rhyacophila nigrocephala,Neophylax japonicus,Total Richness,Total Abundance,Sorter ID,Note,Treat.Name
1,Absent,Future,2,1,17,0,0,13,0,19,0,1,43,2,8,0,0,0,50,0,2,1,4,10,156,SR,,FA1
2,Absent,Future,2,2,6,0,1,31,0,28,0,3,76,0,8,0,0,0,43,0,0,0,0,8,196,MAT,,FA2
3,Present,Future,1,1,3,0,0,14,0,0,0,2,1,0,3,0,0,0,23,23,0,0,0,7,69,JGM,,FP1
4,Present,Future,1,2,4,0,0,8,0,0,0,0,0,0,0,0,0,0,24,1,0,2,0,5,39,JGM,,FP2
5,Absent,Future,2,3,16,0,0,11,0,39,0,0,2,2,3,0,0,1,23,0,0,1,0,9,98,AO,,FA3
6,Absent,Future,2,4,12,0,2,21,0,44,0,0,1,2,0,0,0,0,28,1,1,0,4,9,112,JU,,FA4
7,Present,Future,1,3,3,0,0,21,0,7,0,0,2,1,6,0,0,0,30,0,0,1,0,8,71,MAT,,FP3
8,Present,Future,1,4,1,0,1,28,0,12,0,0,1,0,0,0,0,0,16,0,0,1,2,7,60,AO,,FP4
9,Absent,Future,2,5,13,0,0,6,0,44,0,0,1,0,3,0,1,0,25,0,1,0,0,8,94,JU,,FA5
10,Absent,Future,2,6,28,0,1,2,0,68,0,0,2,1,5,0,0,0,18,1,0,1,4,10,127,SR,,FA6
11,Present,Future,1,5,35,0,0,18,0,61,0,0,0,0,2,0,0,0,17,0,2,1,0,7,136,MT,,FP5
12,Present,Future,1,6,3,0,1,18,0,32,0,0,1,0,6,0,0,0,18,0,0,5,0,8,84,JU,,FP6
13,Absent,Future,2,7,6,0,0,6,0,32,0,0,1,0,7,0,0,0,31,0,0,1,2,7,84,SR,,FA7
14,Absent,Future,2,8,25,0,0,7,0,8,0,2,3,1,4,0,0,0,36,0,0,2,7,9,88,SR,,FA8
15,Present,Future,1,7,1,1,1,22,0,29,0,0,1,1,1,0,0,0,32,0,1,0,1,10,90,OK,,FP7
16,Present,Future,1,8,1,0,1,17,0,20,0,0,2,2,1,0,0,0,29,0,1,0,1,9,74,JGM,Huge caddis case,FP8
17,Absent,Current,4,1,11,1,2,20,0,49,0,0,9,3,1,0,0,0,55,0,0,1,3,10,152,AO,,CA1
18,Absent,Current,4,2,28,0,0,14,0,77,0,0,4,1,2,0,0,0,23,0,0,0,0,7,149,MAT,,CA2
19,Present,Current,3,1,4,0,0,21,7,16,0,0,3,0,1,0,0,0,24,1,1,0,1,9,78,OK,Large caddis case,CP1
20,Present,Current,3,2,4,0,0,12,2,8,0,0,4,2,2,0,0,0,34,0,0,1,4,9,69,SR,,CP2
21,Absent,Current,4,3,9,0,0,24,0,57,0,0,6,0,0,0,0,0,54,3,1,0,0,7,154,OK,,CA3
22,Absent,Current,4,4,12,0,1,29,1,33,0,1,1,0,3,0,0,0,63,1,0,0,0,10,145,JGM,,CA4
23,Present,Current,3,3,4,0,0,21,1,12,0,0,1,2,4,0,0,0,52,0,0,0,2,8,97,SR,,CP3
24,Present,Current,3,4,2,0,0,32,2,10,0,0,3,0,0,0,0,0,30,0,0,1,3,7,80,JU,,CP4
25,Absent,Current,4,5,7,0,0,15,0,9,0,0,1,1,0,0,1,0,31,0,0,1,4,8,66,SR,,CA5
26,Absent,Current,4,6,6,0,1,23,0,19,0,0,3,0,3,0,1,0,77,1,0,0,6,9,134,SR,,CA6
27,Present,Current,3,5,6,0,0,27,2,8,0,0,4,0,1,0,0,0,27,0,0,2,1,8,77,JU,Huge caddis case,CP5
28,Present,Current,3,6,5,0,0,47,4,28,1,0,1,1,1,0,0,0,27,0,0,0,2,9,115,OK,,CP6
29,Absent,Current,4,7,6,0,0,19,1,25,0,1,21,1,1,0,0,0,28,0,0,0,0,9,103,MT,Lots half eaten,CA7
30,Absent,Current,4,8,57,0,1,14,0,41,0,1,10,2,0,0,0,0,39,0,0,1,0,9,166,MAT,,CA8
31,Present,Current,3,7,3,0,0,44,5,7,0,0,4,0,2,0,0,0,17,0,0,0,0,7,82,OK,,CP7
32,Present,Current,3,8,4,0,0,13,1,17,0,0,2,0,1,0,1,0,29,0,0,1,2,9,69,SR,,CP8
33,Absent,Ambient,6,1,6,0,0,20,1,27,0,0,4,3,5,1,0,0,53,0,0,2,1,10,122,MAT,,NA1
34,Absent,Ambient,6,2,3,0,0,37,6,10,0,0,57,0,2,0,0,0,22,0,0,1,3,8,138,MT,,NA2
35,Present,Ambient,5,1,0,0,0,20,3,10,0,0,2,0,1,1,0,0,12,0,0,0,3,7,49,MT,,NP1
36,Present,Ambient,5,2,3,0,0,5,2,11,0,0,1,0,1,0,0,0,32,0,0,0,4,7,55,SR,,NP2
37,Absent,Ambient,6,3,3,0,0,24,1,8,0,0,23,0,1,0,1,0,36,0,0,0,1,8,97,MAT,,NA3
38,Absent,Ambient,6,4,8,0,0,15,3,3,0,0,15,3,0,0,0,0,40,1,0,3,0,9,91,JGM,,NA4
39,Present,Ambient,5,3,2,0,0,8,0,22,0,0,1,2,0,0,0,0,35,0,0,0,0,6,70,MAT,,NP3
40,Present,Ambient,5,4,4,1,0,35,1,2,0,0,0,1,1,0,1,0,38,2,0,0,0,10,86,JGM,,NP4
41,Absent,Ambient,6,5,7,0,0,25,2,42,0,0,10,5,0,0,0,1,55,0,0,1,0,9,148,PEY,large dragonfly nymph,NA5
42,Absent,Ambient,6,6,9,0,0,13,0,25,0,1,2,7,0,0,0,0,58,0,0,1,2,8,116,SR,,NA6
43,Present,Ambient,5,5,2,0,0,19,2,13,0,1,2,0,0,0,1,0,21,0,0,0,1,8,61,JU,Large caddis (lost case),NP5
44,Present,Ambient,5,6,8,0,0,17,1,33,0,0,3,2,2,0,0,0,39,2,0,1,0,10,108,MAT,,NP6
45,Absent,Ambient,6,7,18,0,0,16,0,9,0,0,13,4,2,0,1,0,37,3,0,1,2,10,104,SR,,NA7
46,Absent,Ambient,6,8,17,0,1,5,4,21,0,0,17,2,0,0,0,0,24,1,0,1,5,10,93,SR,"1 Huge, 2 large cases",NA8
47,Present,Ambient,5,7,3,0,0,25,3,0,0,0,0,1,1,0,1,0,15,1,0,0,4,8,50,JGM,"1 Huge, 1 large case",NP7
48,Present,Ambient,5,8,3,0,0,36,1,5,0,0,0,6,0,0,1,0,38,0,0,2,2,8,92,AO,Huge caddis case,NP8
