Date,Cyano,Green.Algae,Diatoms,Total.Conc,Reflection,Mesocosm.No,Pred.Treatment,Heat.Treatment,Treatment,Rep,Period
18/07/2019,0.22,0.05,1.13,1.4,12,1,Absent,Future,2,1,Initial
18/07/2019,0.16,0.38,0.54,1.08,18,2,Absent,Future,2,2,Initial
18/07/2019,0.32,0,1.71,2.03,9,3,Present,Future,1,1,Initial
18/07/2019,0.17,0,1.7,1.87,8,4,Present,Future,1,2,Initial
18/07/2019,0.41,0.2,2.03,2.64,15,5,Absent,Future,2,3,Initial
18/07/2019,0.57,0,2.34,2.91,11,6,Absent,Future,2,4,Initial
18/07/2019,0.46,0,2.52,2.98,13,7,Present,Future,1,3,Initial
18/07/2019,0.17,0.49,0.59,1.25,17,8,Present,Future,1,4,Initial
18/07/2019,0.25,0,1.26,1.51,19,9,Absent,Future,2,5,Initial
18/07/2019,0.32,0.02,1.21,1.55,17,10,Absent,Future,2,6,Initial
18/07/2019,0.38,0.61,1.23,2.22,9,11,Present,Future,1,5,Initial
18/07/2019,0.35,0,1.6,1.95,17,12,Present,Future,1,6,Initial
18/07/2019,0.51,0.2,2.5,3.21,13,13,Absent,Future,2,7,Initial
18/07/2019,0.29,0,1.23,1.52,20,14,Absent,Future,2,8,Initial
18/07/2019,0.36,0,2.15,2.51,12,15,Present,Future,1,7,Initial
18/07/2019,0.24,0.03,1.61,1.88,13,16,Present,Future,1,8,Initial
18/07/2019,0.17,0.23,0.64,1.04,25,17,Absent,Current,4,1,Initial
18/07/2019,0.41,0,1.86,2.27,16,18,Absent,Current,4,2,Initial
18/07/2019,0.28,0.12,1.56,1.96,10,19,Present,Current,3,1,Initial
18/07/2019,0.26,0,1.27,1.53,17,20,Present,Current,3,2,Initial
18/07/2019,0.17,0,1.87,2.04,4,21,Absent,Current,4,3,Initial
18/07/2019,0.31,0,2.21,2.52,9,22,Absent,Current,4,4,Initial
18/07/2019,0.42,0.07,2.06,2.55,11,23,Present,Current,3,3,Initial
18/07/2019,0.33,0,1.49,1.82,13,24,Present,Current,3,4,Initial
18/07/2019,0.35,0,2.23,2.58,5,25,Absent,Current,4,5,Initial
18/07/2019,0.22,0.09,0.96,1.27,13,26,Absent,Current,4,6,Initial
18/07/2019,0.28,0,1.38,1.66,8,27,Present,Current,3,5,Initial
18/07/2019,0.31,0,1.35,1.66,9,28,Present,Current,3,6,Initial
18/07/2019,0.32,0,2.36,2.68,7,29,Absent,Current,4,7,Initial
18/07/2019,0.3,0.5,1.84,2.64,11,30,Absent,Current,4,8,Initial
18/07/2019,0.31,0,1.9,2.21,13,31,Present,Current,3,7,Initial
18/07/2019,0.3,0,1.67,1.97,12,32,Present,Current,3,8,Initial
18/07/2019,0.44,0.78,1.55,2.77,15,33,Absent,Ambient,6,1,Ambient
18/07/2019,0.22,0,1.28,1.5,18,34,Absent,Ambient,6,2,Ambient
18/07/2019,0.25,0,1.56,1.81,20,35,Present,Ambient,5,1,Ambient
18/07/2019,0.23,0,1.03,1.26,16,36,Present,Ambient,5,2,Ambient
18/07/2019,0.26,0,1.6,1.86,9,37,Absent,Ambient,6,3,Ambient
18/07/2019,0.35,0,1.51,1.86,12,38,Absent,Ambient,6,4,Ambient
18/07/2019,0.42,0,1.74,2.16,10,39,Present,Ambient,5,3,Ambient
18/07/2019,0.31,0,1.54,1.85,7,40,Present,Ambient,5,4,Ambient
18/07/2019,0.29,0,1.4,1.69,7,41,Absent,Ambient,6,5,Ambient
18/07/2019,0.34,0,1.77,2.11,11,42,Absent,Ambient,6,6,Ambient
18/07/2019,0.28,0,2.05,2.33,12,43,Present,Ambient,5,5,Ambient
18/07/2019,0.35,0,2.15,2.5,8,44,Present,Ambient,5,6,Ambient
18/07/2019,0.28,0.46,1.47,2.21,17,45,Absent,Ambient,6,7,Ambient
18/07/2019,0.28,0.22,2.12,2.62,14,46,Absent,Ambient,6,8,Ambient
18/07/2019,0.29,0,2.13,2.42,6,47,Present,Ambient,5,7,Ambient
18/07/2019,0.2,0,1.4,1.6,10,48,Present,Ambient,5,8,Ambient
19/07/2019,0.17,0.25,0.64,1.06,16,1,Absent,Future,2,1,Initial
19/07/2019,0.2,0.3,0.67,1.17,18,2,Absent,Future,2,2,Initial
19/07/2019,0.39,0,2.09,2.48,8,3,Present,Future,1,1,Initial
19/07/2019,0.34,0,2.05,2.39,7,4,Present,Future,1,2,Initial
19/07/2019,0.34,0.11,1.36,1.81,14,5,Absent,Future,2,3,Initial
19/07/2019,0.57,0,2.09,2.66,7,6,Absent,Future,2,4,Initial
19/07/2019,0.51,0,2.76,3.27,14,7,Present,Future,1,3,Initial
19/07/2019,0.17,0.35,0.54,1.06,13,8,Present,Future,1,4,Initial
19/07/2019,0.28,0,1.61,1.89,18,9,Absent,Future,2,5,Initial
19/07/2019,0.28,0.22,1.19,1.69,20,10,Absent,Future,2,6,Initial
19/07/2019,0.52,0,1.57,2.09,8,11,Present,Future,1,5,Initial
19/07/2019,0.32,0,1.82,2.14,18,12,Present,Future,1,6,Initial
19/07/2019,0.61,0,3.02,3.63,12,13,Absent,Future,2,7,Initial
19/07/2019,0.33,0,1.55,1.88,16,14,Absent,Future,2,8,Initial
19/07/2019,0.71,0,2.64,3.35,15,15,Present,Future,1,7,Initial
19/07/2019,0.31,0,1.72,2.03,10,16,Present,Future,1,8,Initial
19/07/2019,0.21,0.26,0.73,1.2,22,17,Absent,Current,4,1,Initial
19/07/2019,0.39,0.09,1.97,2.45,16,18,Absent,Current,4,2,Initial
19/07/2019,0.33,0.28,1.47,2.08,14,19,Present,Current,3,1,Initial
19/07/2019,0.32,0,1.35,1.67,11,20,Present,Current,3,2,Initial
19/07/2019,0.26,0,2.36,2.62,2,21,Absent,Current,4,3,Initial
19/07/2019,0.39,0,2.03,2.42,11,22,Absent,Current,4,4,Initial
19/07/2019,0.4,0,2.05,2.45,8,23,Present,Current,3,3,Initial
19/07/2019,0.36,0,1.88,2.24,8,24,Present,Current,3,4,Initial
19/07/2019,0.41,0,2.28,2.69,6,25,Absent,Current,4,5,Initial
19/07/2019,0.24,0,0.93,1.17,13,26,Absent,Current,4,6,Initial
19/07/2019,0.4,0,1.92,2.32,3,27,Present,Current,3,5,Initial
19/07/2019,0.26,0.06,1.24,1.56,12,28,Present,Current,3,6,Initial
19/07/2019,0.46,0,3.07,3.53,3,29,Absent,Current,4,7,Initial
19/07/2019,0.36,0,1.87,2.23,7,30,Absent,Current,4,8,Initial
19/07/2019,0.33,0,1.43,1.76,14,31,Present,Current,3,7,Initial
19/07/2019,0.46,0,2.07,2.53,10,32,Present,Current,3,8,Initial
19/07/2019,0.64,0.36,2.29,3.29,10,33,Absent,Ambient,6,1,Ambient
19/07/2019,0.35,0,1.38,1.73,13,34,Absent,Ambient,6,2,Ambient
19/07/2019,0.42,0,2.17,2.59,15,35,Present,Ambient,5,1,Ambient
19/07/2019,0.38,0,1.37,1.75,14,36,Present,Ambient,5,2,Ambient
19/07/2019,0.34,0,1.61,1.95,4,37,Absent,Ambient,6,3,Ambient
19/07/2019,0.25,0.12,1.06,1.43,13,38,Absent,Ambient,6,4,Ambient
19/07/2019,0.31,0,2.05,2.36,7,39,Present,Ambient,5,3,Ambient
19/07/2019,0.29,0,1.11,1.4,14,40,Present,Ambient,5,4,Ambient
19/07/2019,0.2,0,1.4,1.6,5,41,Absent,Ambient,6,5,Ambient
19/07/2019,0.28,0,1.86,2.14,9,42,Absent,Ambient,6,6,Ambient
19/07/2019,0.38,0,1.61,1.99,7,43,Present,Ambient,5,5,Ambient
19/07/2019,0.34,0,1.73,2.07,6,44,Present,Ambient,5,6,Ambient
19/07/2019,0.28,0.1,1.42,1.8,13,45,Absent,Ambient,6,7,Ambient
19/07/2019,0.4,0,2,2.4,14,46,Absent,Ambient,6,8,Ambient
19/07/2019,0.29,0,2.66,2.95,4,47,Present,Ambient,5,7,Ambient
19/07/2019,0.33,0,1.2,1.53,13,48,Present,Ambient,5,8,Ambient
20/07/2019,0.19,0.19,0.39,0.77,15,1,Absent,Future,2,1,Initial
20/07/2019,0.16,0.16,0.26,0.58,18,2,Absent,Future,2,2,Initial
20/07/2019,0.28,0,0.68,0.96,8,3,Present,Future,1,1,Initial
20/07/2019,0.21,0,0.59,0.8,14,4,Present,Future,1,2,Initial
20/07/2019,0.25,0.09,0.5,0.84,19,5,Absent,Future,2,3,Initial
20/07/2019,0.45,0,0.87,1.32,13,6,Absent,Future,2,4,Initial
20/07/2019,0.35,0,0.89,1.24,16,7,Present,Future,1,3,Initial
20/07/2019,0.15,0.12,0.25,0.52,23,8,Present,Future,1,4,Initial
20/07/2019,0.26,0,0.59,0.85,14,9,Absent,Future,2,5,Initial
20/07/2019,0.2,0.04,0.43,0.67,21,10,Absent,Future,2,6,Initial
20/07/2019,0.55,0.43,1.55,2.53,14,11,Present,Future,1,5,Initial
20/07/2019,0.28,0.01,0.58,0.87,17,12,Present,Future,1,6,Initial
20/07/2019,0.41,0.17,0.95,1.53,16,13,Absent,Future,2,7,Initial
20/07/2019,0.22,0,0.54,0.76,17,14,Absent,Future,2,8,Initial
20/07/2019,0.43,0,0.98,1.41,16,15,Present,Future,1,7,Initial
20/07/2019,0.25,0.01,0.61,0.87,11,16,Present,Future,1,8,Initial
20/07/2019,0.15,0.11,0.28,0.54,25,17,Absent,Current,4,1,Initial
20/07/2019,0.35,0,0.78,1.13,15,18,Absent,Current,4,2,Initial
20/07/2019,0.26,0.68,0.91,1.85,18,19,Present,Current,3,1,Initial
20/07/2019,0.21,0,0.61,0.82,14,20,Present,Current,3,2,Initial
20/07/2019,0.26,0,0.78,1.04,4,21,Absent,Current,4,3,Initial
20/07/2019,0.23,0,0.67,0.9,11,22,Absent,Current,4,4,Initial
20/07/2019,0.34,0.04,0.79,1.17,10,23,Present,Current,3,3,Initial
20/07/2019,0.31,0,0.73,1.04,16,24,Present,Current,3,4,Initial
